timestamp,killed_by_champion,assisting_champions,position
2:31,FiddleSticks,['Jhin'],"11340, 1032"
13:32,TahmKench,"['Lillia', 'Jhin', 'FiddleSticks']","11831, 1828"
15:09,Jhin,['FiddleSticks'],"12462, 2742"
16:49,FiddleSticks,['Jhin'],"12966, 1462"
19:22,Jhin,['Lillia'],"13368, 2608"
20:41,Jhin,['FiddleSticks'],"10779, 1476"
22:31,TahmKench,"['Lillia', 'Jhin', 'FiddleSticks']","10487, 5017"
24:46,Garen,[],"4931, 4670"
29:21,Garen,"['TahmKench', 'FiddleSticks']","4474, 9567"
34:08,Garen,['TahmKench'],"10260, 2462"
37:26,Jhin,"['Garen', 'TahmKench']","9514, 5864"
