timestamp,victim_champion,assisting_champions,position
6:56,Jhin,"['Warwick', 'Thresh']","12965, 3260"
8:13,Jhin,['Thresh'],"11960, 2929"
9:10,FiddleSticks,['Thresh'],"10973, 2134"
9:13,Jhin,['Thresh'],"12418, 2132"
11:28,Jhin,['Thresh'],"13490, 4660"
14:56,FiddleSticks,['Thresh'],"13339, 3929"
16:46,Jhin,[],"12787, 2040"
19:22,Jhin,"['Warwick', 'Taliyah', 'Thresh']","13448, 2193"
22:25,Lillia,[],"10707, 4641"
26:40,FiddleSticks,"['Taliyah', 'Thresh']","11122, 4958"
26:45,Garen,"['Warwick', 'Taliyah', 'Thresh']","11277, 6046"
31:16,Garen,"['Volibear', 'Warwick', 'Thresh']","11100, 1926"
31:41,TahmKench,"['Volibear', 'Taliyah', 'Thresh']","10399, 5548"
31:43,Jhin,"['Warwick', 'Thresh']","8949, 5442"
32:41,Lillia,[],"6334, 6014"
37:06,FiddleSticks,"['Warwick', 'Taliyah', 'Thresh']","8471, 5625"
37:06,Lillia,"['Warwick', 'Taliyah', 'Thresh']","8301, 5249"
37:25,TahmKench,['Warwick'],"9012, 6078"
