match_id,timestamp,killed_by_champion,assisting_champions,position
NA1_4818882796,8:21,Aphelios,['Taric'],"12947, 3501"
NA1_4818882796,13:14,Taric,[],"13630, 3453"
NA1_4818882796,14:42,Evelynn,[],"6989, 6421"
NA1_4818882796,16:29,Evelynn,"['Naafiri', 'Taric']","7311, 7245"
NA1_4818882796,18:55,Naafiri,[],"13602, 2800"
NA1_4818882796,20:20,Evelynn,"['Aphelios', 'Taric']","6963, 6664"
NA1_4818882796,22:57,Yone,"['Naafiri', 'Aphelios']","11345, 3953"
NA1_4818882796,24:17,Evelynn,['Taric'],"7368, 4761"
NA1_4818882796,27:34,Yone,[],"4724, 4798"
NA1_4818882796,28:45,Evelynn,[],"4443, 1325"
NA1_4818882796,31:07,Naafiri,"['Yone', 'Taric']","2510, 2057"
